Sl. No.,States/UTs,Hearing - Persons,Hearing - Males,Hearing - Females,Locomotor - Persons,Locomotor - Males,Locomotor - Females,Visual - Persons,Visual - Males,Visual - Females
1,Andaman and Nicobar Islands,636,371,265,1675,1147,528,33,22,11
2,Andhra Pradesh,113364,69511,43853,964584,692154,272430,29914,24152,5762
3,Arunachal Pradesh,369,212,157,787,499,288,17,14,3
4,Assam,17863,9145,8718,35645,23622,12023,432,258,174
5,Bihar,5370,3651,1719,39099,30163,8936,1644,1085,559
6,Chandigarh,583,350,233,2674,1900,774,1,1,0
7,Chhattisgarh,17872,10807,7065,121737,80998,40739,301,182,119
8,Dadra Nagar Haveli and Daman and Diu,238,131,107,818,577,241,39,22,17
9,Delhi,1606,1038,568,6077,4467,1610,84,58,26
10,Goa,356,209,147,469,350,119,36,27,9
11,Gujarat,25650,15814,9836,142883,100602,42281,37,26,11
12,Haryana,4090,2731,1359,29196,21419,7777,236,167,69
13,Himachal Pradesh,5417,3514,1903,26881,19156,7725,25,18,7
14,Jammu and Kashmir,4488,2609,1879,19380,12844,6536,204,125,79
15,Jharkhand,2260,1364,896,6389,4498,1891,27,13,14
16,Karnataka,45318,27189,18129,202040,141063,60977,149,88,61
17,Kerala,22740,12751,9989,51898,33978,17920,171,100,71
18,Ladakh,104,58,46,208,123,85,4,4,0
19,Lakshadweep,105,56,49,257,170,87,0,0,0
20,Madhya Pradesh,46804,29903,16901,410200,286620,123580,221,151,70
21,Maharashtra,106473,71080,35393,212831,154850,57981,3934,2838,1096
22,Manipur,507,283,224,1227,771,456,32,15,17
23,Meghalaya,4704,2414,2290,8711,5208,3503,7,3,4
24,Mizoram,945,498,447,724,488,236,0,0,0
25,Nagaland,215,125,90,387,266,121,16,12,4
26,Odisha,56035,32505,23530,202502,135369,67133,306,185,121
27,Puducherry,3354,1575,1779,7731,4474,3257,32,19,13
28,Punjab,11772,7272,4500,141424,97585,43839,415,284,131
29,Rajasthan,24282,13898,10384,303637,205376,98261,0,0,0
30,Sikkim,492,282,210,752,476,276,41,25,16
31,Tamil Nadu,61039,35475,25564,196002,129797,66205,542,328,214
32,Telangana,40475,21571,18904,299319,193145,106174,0,0,0
33,Tripura,3679,2142,1537,9749,6570,3179,79,45,34
34,Uttar Pradesh,39332,26408,12924,449685,348413,101272,651,420,231
35,Uttarakhand,1561,1078,483,7605,5651,1954,550,369,181
36,West Bengal,3,2,1,4,3,1,0,0,0
Total,Total,670101,408022,262079,3905187,2744792,1160395,40180,31056,9124
